"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score"
2018-03-27 00:00:00,"1","2","January",24,97,44,99,98
2018-03-27 00:00:00,"1","2","August",22,97,37,99,98
2018-03-27 00:00:00,"1","2","January",28,99,36,96,98
2018-03-27 00:00:00,"2","13","August",23,98,34,98,98
2018-03-27 00:00:00,"K","28","March",26,95,46,99,98
2018-03-27 00:00:00,"K","29","October",26,97,43,99,98
2018-03-27 00:00:00,"K","30","January",27,95,46,99,98
2018-03-28 00:00:00,"K","2","September",22,97,44,99,98
2018-03-28 00:00:00,"K","2","April",23,96,40,99,98
2018-03-29 00:00:00,"K","2","July",21,95,40,99,98
2018-04-06 00:00:00,"K","2","March",24,98,36,98,98
2018-04-07 00:00:00,"K","14","March",28,97,45,99,98
2018-04-10 00:00:00,"K","3","April",23,96,40,99,98
2018-04-14 00:00:00,"K","2","October",21,97,37,99,98
2018-04-14 00:00:00,"K","2","October",25,95,47,99,98
2018-03-27 00:00:00,"K","14","June",27,94,41,99,97
2018-03-27 00:00:00,"1","30","May",25,92,44,99,97
2018-03-28 00:00:00,"Kinder","2","November",20,96,31,97,97
2018-03-28 00:00:00,"K","2","January",26,91,45,99,97
2018-03-29 00:00:00,"K","1","June",20,90,41,99,97
2018-04-02 00:00:00,"K","28","July",20,91,36,99,97
2718-03-01 00:00:00,"k","30","February",25,91,43,99,97
2018-03-27 00:00:00,"1","2","May",20,90,43,99,96
2018-03-27 00:00:00,"K","15","September",23,88,46,99,96
2018-03-27 00:00:00,"K","15","November",24,90,44,99,96
2018-03-27 00:00:00,"K","32","August",26,97,36,94,96
2018-03-28 00:00:00,"Kindergarten","4","April",28,99,34,86,96
2018-03-28 00:00:00,"K","13","May",24,88,43,99,96
2018-03-31 00:00:00,"K","3","August",24,87,47,99,96
2018-04-09 00:00:00,"K","2","December",19,93,31,98,96
2018-06-05 00:00:00,"K","13","April",20,90,39,99,96
2018-03-27 00:00:00,"1","2","April",18,84,39,99,95
2018-03-27 00:00:00,"1","2","June",20,0.91,34,97,95
2018-03-27 00:00:00,"first","2","May",22,94,34,96,95
2018-03-27 00:00:00,"K","26","September",24,93,37,96,95
2018-03-28 00:00:00,"K","3","November",16,84,33,99,95
2018-03-27 00:00:00,"1","2","February",22,94,39,99,94
2018-03-27 00:00:00,"1","2","November",15,79,35,99,94
2018-03-27 00:00:00,"1","2","February",23,96,33,92,94
2018-03-27 00:00:00,"K","20","March",24,79,44,99,94
2018-03-27 00:00:00,"K","20","June",27,99,26,79,94
2018-03-28 00:00:00,"K","2","August",19,90,32,96,94
2021-01-19 00:00:00,"K","6","August",15,75,33,98,91
2018-03-27 00:00:00,"1","2","December",10,48,31,98,84
2018-03-27 00:00:00,"1","2","July",19,89,24,0.71,81
2018-03-27 00:00:00,"1","2","August",13,62,29,91,79
